image_num,cat_num,image_id,image_cat,typicality,arousal,size,manmade,precious,lives,heavy,natural,moves_mean,grasp,hold,bemoved,pleasant
1,1,eagle,bird,0.700166113,4.553191489,264.1555556,1.3421,6.1842,6.8421,4.2895,6.7105,6.8421,2.4211,2.5263,2.7105,5.6316
2,1,hummingbird,bird,0.572981366,3.62,187.3023256,1.1892,6.027,6.9189,1.2973,6.8649,6.8919,3.2703,3.4865,4.1351,6.0811
3,1,owl,bird,0.497593718,4.921568627,242.7222222,1.1714,6.0286,6.9714,3.2857,6.7429,6.9429,2.6571,2.8857,4.2,5.6
4,1,peacock,bird,0.416477273,3.4375,277.2666667,1.1538,5.9231,6.8718,4.359,6.6667,6.7692,3.1538,2.6667,3.2051,6.0769
5,1,pigeon,bird,0.669767442,3.795454545,226.5930233,1.2051,3.9487,6.7949,1.7692,6.7179,6.8718,3.8205,3.7949,4.4615,4.2308
6,1,rooster,bird,0.514204545,4.043478261,247.6190476,1.359,4.641,6.9231,2.9231,6.4615,6.8974,3.8462,3.8462,4.6923,4.4872
1,2,bacon,breakfast food,0.722883598,4.979166667,194.4302326,4.8611,4.0556,1.9167,1.5,4.3611,1.75,6.6111,6.5278,6.5556,6.1389
2,2,croissant,breakfast food,0.433333333,4.222222222,207.4651163,6.5405,3.7297,1.973,1.9189,2.8919,1.7297,6.3514,6.5135,6.5135,6.027
3,2,grits,breakfast food,0.348286876,4.333333333,137.1976744,5.6286,3.1429,2.0286,1.6857,4.3714,1.8286,4.1429,4.5429,5.6,4.8286
4,2,oatmeal,breakfast food,0.669444444,4.291666667,154.9210526,4.95,3.25,1.875,2.175,5.35,2.2,4.675,5.15,5.85,5.45
5,2,pancake,breakfast food,0.696022727,3.738095238,220.0978261,6.5526,3.8421,1.5526,1.8684,3.1579,1.8684,6.1316,6.5263,6.5526,6.0526
6,2,syrup,breakfast food,0.410714286,4.260869565,186.0294118,4.7027,4.5946,1.8649,2.8919,5.5676,3.1351,4.2973,4.6216,5.5676,6.0541
1,3,apron,clothing,0.414208075,3.977777778,258.5851064,6.5714,2.4286,1.1714,1.3429,1.9429,1.7714,6.3429,6.6,6.6286,4.4857
2,3,boot,clothing,0.514817629,4.666666667,240.12,6.8889,3.5,1.3611,3.4722,2.2222,3.2222,5.9167,6.2778,6.5833,4.6667
3,3,lingerie,clothing,0.515567766,4.666666667,234.5243902,6.8378,4.8649,1.3784,1.3514,1.7027,2.027,6.2703,6.5676,6.5405,5.973
4,3,shawl,clothing,0.39258658,3.955555556,264.4354839,6.8684,4.4211,1.3158,2.0789,2.8684,2.1842,6.3158,6.3684,6.5,5.5
5,3,shoe,clothing,0.521164021,3.956521739,224.4347826,6.7714,4.2857,1.4286,2.3143,2.2571,3.6571,6.1714,6.4,6.5714,5.2286
6,3,skirt,clothing,0.709697421,3.588235294,256.3586957,6.7179,3.8205,1.3077,1.6154,2.5385,2.8462,6.4359,6.6154,6.5897,5.7436
1,4,crane,construction equipment,0.62484127,4.840909091,406.325,6.7895,3.1842,1.1316,6.8421,1.5263,5.8421,2.2368,1.2105,3.2895,3.6579
2,4,hammer,construction equipment,0.702380952,5.152173913,232.5243902,6.7222,3,1.1667,4.2778,1.6667,2.5556,6.4444,6.3611,6.1944,4.2222
3,4,saw,construction equipment,0.568641775,5.434782609,256.3222222,6.5385,3.0256,1.4615,3.2308,1.7949,3.2308,5.9487,6.1538,5.9231,3.5897
4,4,scaffold,construction equipment,0.488236961,4.094339623,356.5128205,6.4865,3.0541,1.4324,6.027,1.8108,2.5135,3.9459,2.4865,2.2973,3.9459
5,4,screwdriver,construction equipment,0.466945289,4.255319149,203.7045455,6.5641,3.2051,1.2821,2.2821,1.8718,2.7179,6.4615,6.5385,6.5128,4.3077
6,4,steamroller,construction equipment,0.351136364,4.764705882,365.5108696,6.8205,2.8205,1.4103,6.9487,1.4872,6.5128,2.4872,1.2308,4.1538,3.9231
1,5,barrel,container,0.615079365,3.64,288.4891304,6.4324,3.1892,1.4595,6.1622,3,2.0811,3.0811,2.8378,3.4865,4.2973
2,5,dumpster,container,0.452678571,4.042553191,333.7916667,6.5833,1.7778,1.0278,6.8333,1.3611,2.5833,2.5833,1.1944,1.6111,1.9444
3,5,locker,container,0.444072421,3.636363636,285.7978723,6.6765,2.9118,1.1176,6.3235,1.3529,2,4.0882,2.7941,1.9412,4.2647
4,5,pitcher,container,0.601136364,4.08,232.3333333,6.7568,3.5946,1.2973,3.7027,2.2703,2.2162,6.1351,6.2162,6.2973,4.8108
5,5,vial,container,0.497294372,5.119047619,179.3292683,6.8919,3.2703,1.1892,1.3784,1.3514,1.973,6.3784,6.5676,6.6486,3.973
6,5,wineglass,container,0.404356061,4.413043478,216.6,6.75,4.0556,1.2778,1.5278,2,1.8056,6.5,6.5278,6.5278,5.25
1,6,brownie,dessert,0.692460317,3.348837209,191.7391304,6.6486,3.9459,1.2973,1.6757,2.5946,1.4865,6.2973,6.6757,6.7838,6.4865
2,6,cake,dessert,0.805924695,3.326530612,242.4146341,6.7838,4.9459,1.3514,3.1081,2.7568,2.0541,4.7838,5.4595,5.7027,6.5135
3,6,dessert,dessert,0.656037415,3.777777778,207.6176471,6.5676,4.5946,1.2703,1.6486,3.1351,1.2973,5.973,6.1081,6.4865,6.7568
4,6,donut,dessert,0.448089701,4.282608696,206.5,6.7059,3.5294,1.2941,1.3235,2.6765,1.7353,6.5882,6.6471,6.6176,6.3235
5,6,ice-cream_cone,dessert,0.589721254,3.409090909,200,6.7027,3.3243,1.6757,1.4865,2.1892,1.9459,6.2973,6.5676,6.4595,5.9459
6,6,milkshake,dessert,0.489285714,4.333333333,224.0769231,6.7105,3.7632,1.5263,2.1316,3.5526,1.7895,5.7632,6.0263,6.2632,6.3158
1,7,coffeemaker,electronic device,0.507475083,4.5,254.2906977,6.9714,3.7714,1.0571,3.3429,1.1143,1.5143,5.3143,5.4,5.9143,5.6286
2,7,copier,electronic device,0.618902439,3.860465116,283.0357143,6.7778,3.0556,1.1111,6.5,1.3611,2.6667,3.2222,2.3056,3.25,4.2222
3,7,drill,electronic device,0.361710963,4.936170213,234.775,6.7714,3.6857,1.3714,4.1143,1.5429,4.9429,5.8,5.8571,5.9143,4.2571
4,7,modem,electronic device,0.591614907,3.94,227.4615385,6.7368,4.6316,1.3947,2.2368,1.3158,1.7632,5.9737,6.1053,5.9474,4.3421
5,7,television,electronic device,0.79154519,4.074074074,279.2272727,6.75,4.225,1.35,5.9,1.4,1.8,4.2,3.325,3.575,5.75
6,7,washing_machine,electronic device,0.525568182,4.282608696,298.6022727,6.5135,4.2162,1.1892,6.6757,1.5676,4.2162,2.8378,1.7838,2.3784,4.8108
1,8,banana,fruit,0.734929078,3.545454545,221.5930233,1.4737,4.1842,4.3947,1.3421,6.7368,1.6579,6.7368,6.8158,6.7105,5.6842
2,8,blueberry,fruit,0.606292517,3.565217391,141.9021739,2.0526,4.4737,4.5789,1.5263,6.8158,2.5263,6.2368,6.6316,6.6842,6.2632
3,8,grapefruit,fruit,0.432370821,4.111111111,217.1,1.4054,3.9459,4.3514,2,6.8649,1.7838,6.2973,6.2973,6.4865,5.3243
4,8,kiwi,fruit,0.35058309,3.448979592,182.7045455,1.2105,4.6842,5.1579,1.5,6.8158,2.0789,6.6316,6.6842,6.7895,5.8684
5,8,pineapple,fruit,0.592105263,4.048780488,231.2888889,1.7838,4.7568,5.8378,3.5676,6.7838,2.027,5.3514,5.6216,6.1351,6.1351
6,8,raspberry,fruit,0.530020704,4.108695652,144.09375,1.5897,4.8718,4.7692,1.3333,6.8974,2.0513,6.4872,6.7436,6.6667,6.3077
1,9,blowtorch,hardware,0.345454545,5.227272727,246.3658537,6.7297,3.0811,1.3514,3.2973,1.6216,2.1081,5.8378,5.973,6.027,4.1081
2,9,doorhandle,hardware,0.522534014,4.195652174,198.7674419,6.7778,2.5833,1.25,2.3333,1.5278,5.3889,6.6111,6.3333,6.0556,4.2778
3,9,jackhammer,hardware,0.442176871,4.638297872,276.2840909,6.7576,2.8182,1.3636,6.2424,1.5758,5.3636,4.1515,3.5152,3.4545,2.4545
4,9,latch,hardware,0.470292208,4.294117647,182.5568182,6.7297,2.7297,1.3243,3.2162,1.5135,4.6757,6.027,5.8919,5.7568,4.3514
5,9,plunger,hardware,0.369047619,4.666666667,248.6521739,6.6216,2.8378,1.1892,1.8919,1.6486,2.8919,6.3514,6.5946,6.4324,3.1081
6,9,tool,hardware,0.704407295,4.795918367,229.8548387,6.5263,3.9211,1.2632,4.0526,2,3.0789,6.3684,6.3421,6.3158,4.4474
1,10,knife,kitchen tool,0.785714286,5.272727273,209.7272727,6.6111,3.6111,1.3056,2.3333,1.8056,2.3889,6.4167,6.5278,6.5556,4.6111
2,10,measuring_cup,kitchen tool,0.701339286,3.386363636,204.9625,6.8684,3.3421,1.1053,2.4474,1.6316,2.1842,6.3421,6.5,6.5526,4.5789
3,10,rolling_pin,kitchen tool,0.545068027,4,227.6428571,6.6667,3.7222,1.2778,3.4444,2.5833,4.8056,6.1389,6.3333,6.4444,4.5278
4,10,scoop,kitchen tool,0.358101045,4.25,212.1756757,6.8108,3.0541,1.2432,1.7838,1.4595,2,6.5946,6.5946,6.6216,4.5946
